OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
553,Statistics Survey Operations,N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,SYT,N.A.,V,N.A.,N.A.,N.A.,1987,N.A.,N.A.,N.A.,N.A.,Active,N.A.,N.A.
328,TV5 Québec Canada,N.A.,www.tv5.ca,"Canada Corporations Act, R.S.C. 1970, c. C-32 (original instrument) Canada Not-for-Profit Corporations Act, L.C. 2009, c. 23 (Current Instrument)",To promote the Canadian and international Francophonie.,Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1987,Deloitte LLP,N.A.,31-Aug,2/11 board members nominated (rather than appointed),Active,N.A.,N.A.
315,Telefilm Canada,N.A.,www.telefilm.ca,"Telefilm Canada Act, R.S.C., 1985, c. C-16",To foster and promote the development of the audiovisual industry in Canada.,Canadian Heritage,Crown Corporations,FDC,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1967,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
316,Terry Fox Humanitarian Award Inc.,N.A.,www.terryfoxawards.ca,Not-for-profit Corporation Act (2014-10-16),"To encourage Canadian youth to seek high ideals, as represented by Terry Fox, by granting commemorative scholarships for the pursuit of higher education and to establish, maintain, and manage an endowment fund.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1982,Deloitte & Touche LLP,N.A.,31-Mar,2/12 board members,Active,N.A.,N.A.
542,"The Director, The Veterans’ Land Act",N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,DVL,N.A.,IV,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Active,N.A.,Non-operational.
148,The Federal Bridge Corporation Limited,Federal Bridge Corporation,www.federalbridge.ca,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","To provide users of the Canadian facilities of the international bridges located at Sault Ste. Marie, Point Edward, Thousand Islands, and Cornwall, Ontario, with safe and effective infrastructures.",Transport,Crown Corporations,FBP,III,N.A.,Minister of Transport,N.A.,N.A.,2015,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
317,The Halifax 2011 Canada Games Host Society,N.A.,N.A.,"Corporations Registration Act, R.S.N.S. 1989, c. 101","To plan, organize, manage, promote, finance, conduct, operate, and supervise the 2011 Canada Winter Games.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2007,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
194,The Jacques-Cartier and Champlain Bridges Inc.,N.A.,www.jacquescartierchamplain.ca,Canada Business Corporations Act,Use systemic management and a sustainable development approach to ensure the safety and longevity of the major infrastructure under its responsibility.,Infrastructure and Communities,Crown Corporations,CCB,III,N.A.,Minister of Infrastructure and Communities,N.A.,N.A.,1978,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
218,The National Battlefields Commission,The National Battlefields Commission,www.ccbn-nbc.gc.ca,"Act Respecting the National Battlefields at Quebec, S.C. 1908, c. 57","The National Battlefields Commission (NBC), as manager of Battlefields  Park, makes it possible for Canadians to enjoy Canada’s first national  historic park and one of the most prestigious urban parks in the world.    The NBC is responsible for the administration, management, conservation  and development of National Battlefields Park (located in the city of Quebec) and manages the funding allocated for this purpose.    The NBC takes its mandate from the  National Battlefields at Quebec Act , 7–8 Edward VII, c. 57, passed on March 17, 1908, and its  amendments.    The Minister of Canadian Heritage is responsible for this organization.    Additional information can be found in the NBC’s Report on Plans and Priorities.",Canadian Heritage,Departmental Corporations,NBC,II,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1908,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
318,Thunder Bay International Airports Authority Inc.,N.A.,www.tbairport.on.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airports.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1997,Grant Thornton LLP,N.A.,31-Dec,2/9 board members,Active,N.A.,N.A.
319,Thunder Bay Port Authority,N.A.,www.portofthunderbay.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,BDO Canada LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
320,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,N.A.,www.toronto2015.org,"Corporations Act, R.S.O. 1990, C.38 (Ontario)","To plan, organize, manage, promote, finance, conduct, operate, and supervise the 2015 Pan American and Parapan American Games.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Sport and Persons with Disabilities,N.A.,N.A.,2010,Grant Thornton LLP,N.A.,31-Mar,3/12 board members,Active,N.A.,N.A.
321,Toronto Port Authority,N.A.,www.portstoronto.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte LLP,N.A.,31-Dec,7/9 board members,Active,N.A.,N.A.
323,Translation Bureau,N.A.,www.tpsgc-pwgsc.gc.ca/bt-tb/index-eng.html,"Translation Bureau Act, R.S.C. 1985, c. T-16 Department of Public Works and Government Services Act, S.C. 1996, c. 16 Treasury Board Decision No. 820016, April, 1993","The Bureau shall collaborate with and act for all departments, boards, agencies, and commissions established by Act of Parliament or appointed by order of the Governor in Council and collaborate with and act for both Houses of Parliament in all matters relating to the making and revising of translations from one language into another of documents, including correspondence, reports, proceedings, debates, bills and Acts, and to interpretation, sign-language interpretation and terminology.",Public Services and Procurement,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Public Services and Procurement,N.A.,N.A.,1995,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
324,Transportation Appeal Tribunal of Canada,N.A.,N.A.,"Transportation Appeal Tribunal of Canada Act, S.C. 2001, c. 29","The Tribunal’s principal mandate, as a multi-modal review body, is to hold review and appeal hearings at the request of interested parties with respect to certain administrative actions taken under various federal transportation Acts.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2003,N.A.,N.A.,N.A.,N.A.,Transferred,2014,N.A.
326,Treasury Board Secretariat,Treasury Board of Canada Secretariat,www.canada.ca/en/treasury-board-secretariat/index.html,"Financial Administration Act, R.S.C. 1985, c. F-11","The Treasury Board of Canada Secretariat (Secretariat) is the central agency that acts as the administrative arm of the Treasury Board. The Treasury Board is a committee of Cabinet that:<ul><li>Acts as the government’s management board;</li><li>Provides oversight of the government’s financial management and spending, as well as oversight on human resources issues;</li><li>Is the employer for the public service;</li><li>Establishes policies and common standards for administrative, personnel, financial and organizational practices across government;</li><li>Fulfills the role of the Committee of Council in approving regulatory policies and regulations, and most orders-in-council; and</li><li>Is responsible for reporting to Parliament.</li></ul>The President of the Treasury Board is the Minister responsible for the Secretariat.",Treasury Board,Ministerial Departments,TBD,I,N.A.,President of the Treasury Board,N.A.,N.A.,1966,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
327,Trois-Rivières Port Authority,N.A.,www.porttr.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Deloitte LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
334,VIA Rail Canada Inc.,N.A.,www.viarail.ca/en,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","To offer a national passenger rail transportation service that is safe, secure, efficient, reliable, and environmentally sustainable, and that meets the needs of travellers in Canada.",Transport,Crown Corporations,VIA,III,N.A.,Minister of Transport,N.A.,N.A.,1977,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,N.A.
329,Vancouver Fraser Port Authority,N.A.,www.portmetrovancouver.com,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account the input from users and from the community in which the port is located,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2008,Ernst & Young LLP,N.A.,31-Dec,8/11 board members,Active,N.A.,N.A.
330,Vancouver International Airport Authority,N.A.,www.yvr.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1992,Ernst & Young LLP,N.A.,31-Dec,2/15 board members,Active,N.A.,N.A.
331,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32",To organize and manage the hosting of the 2010 Olympic and Paralympic Games in Vancouver and Whistler.,N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2003,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
332,"Vanier Institute of the Family, The",N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32","To promote the spiritual and material well-being of Canadian families and to study their social, physical, mental, moral, and financial environment and characteristics.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1965,N.A.,N.A.,N.A.,N.A.,Transferred,2012,N.A.
333,Veterans Review and Appeal Board,N.A.,www.vrab-tacra.gc.ca,"Veterans Review and Appeal Board Act, S.C. 1995, c. 18","The Veterans Review and Appeal Board (Board) is an independent,  administrative tribunal created in 1995. The Board provides an appeal  program for service-related disability decisions made by the Department of Veterans  Affairs. This program gives applicants two levels of redress for  disability pension and disability award decisions and the final level of appeal for War Veterans Allowance claims.    The Board’s objective is to ensure that Canada’s traditional Veterans,  Canadian Armed Forces members and Veterans, Royal Canadian Mounted  Police applicants, qualified civilians and their families receive the  disability pensions, disability awards and other benefits to which they are entitled under the law.    The responsible Minister for the Board is the Minister of Veterans Affairs and Associate Minister of National Defence.",Veterans Affairs,Departmental Agencies,AVC,I.1,IV,Minister of Veterans Affairs,N.A.,N.A.,1995,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
